Player,Team,Conf,Year,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards
Carson Beck*,Georgia,SEC,2023,14,302,417,72.4,3941,24,5.8,6,1.4,9.5,9.95,13,281.5,167.9,
Jayden Daniels*,LSU,SEC,2023,12,236,327,72.2,3812,40,12.2,4,1.2,11.7,13.55,16.2,317.7,208,"H,AA"
Dillon Gabriel*,Oklahoma,Big 12,2023,12,266,384,69.3,3660,30,7.8,6,1.6,9.5,10.39,13.8,305,172,
Drake Maye*,North Carolina,ACC,2023,12,269,425,63.3,3608,24,5.6,9,2.1,8.5,8.67,13.4,300.7,149,
Quinn Ewers*,Texas,Big 12,2023,12,272,394,69,3479,22,5.6,6,1.5,8.8,9.26,12.8,289.9,158.6,
Alan Bowman*,Oklahoma State,Big 12,2023,14,304,501,60.7,3460,15,3,14,2.8,6.9,6.25,11.4,247.1,123,
Taulia Tagovailoa*,Maryland,Big Ten,2023,12,290,437,66.4,3377,25,5.7,11,2.5,7.7,7.74,11.6,281.4,145.1,
Jaxson Dart*,Ole Miss,SEC,2023,13,233,358,65.1,3364,23,6.4,5,1.4,9.4,10.05,14.4,258.8,162.4,
Brady Cook*,Missouri,SEC,2023,13,244,369,66.1,3317,21,5.7,6,1.6,9,9.4,13.6,255.2,157.2,
Jack Plummer*,Louisville,ACC,2023,14,256,395,64.8,3204,21,5.3,12,3,8.1,7.81,12.5,228.9,144.4,
Spencer Rattler,South Carolina,SEC,2023,12,275,399,68.9,3186,19,4.8,8,2,8,8.04,11.6,265.5,147.7,
Kyle McCord*,Ohio State,Big Ten,2023,12,229,348,65.8,3170,24,6.9,6,1.7,9.1,9.71,13.8,264.2,161.6,
Rocco Becht*,Iowa State,Big 12,2023,13,231,367,62.9,3120,23,6.3,8,2.2,8.5,8.77,13.5,240,150.7,
J.J. McCarthy*,Michigan,Big Ten,2023,15,240,332,72.3,2991,22,6.6,4,1.2,9,9.79,12.5,199.4,167.4,H-10
Graham Mertz,Florida,SEC,2023,11,261,358,72.9,2903,20,5.6,3,0.8,8.1,8.85,11.1,263.9,157.8,
Cade Klubnik*,Clemson,ACC,2023,13,290,454,63.9,2844,19,4.2,9,2,6.3,6.21,9.8,218.8,126.3,
Haynes King*,Georgia Tech,ACC,2023,13,226,367,61.6,2842,27,7.4,16,4.4,7.7,7.25,12.6,218.6,142.2,
Jalen Milroe*,Alabama,SEC,2023,13,187,284,65.8,2834,23,8.1,6,2.1,10,10.65,15.2,218,172.2,H-6
Joe Milton*,Tennessee,SEC,2023,12,229,354,64.7,2813,20,5.6,5,1.4,7.9,8.44,12.3,234.4,147.3,
Donovan Smith,Houston,Big 12,2023,12,256,397,64.5,2801,22,5.5,13,3.3,7.1,6.69,10.9,233.4,135.5,
Jordan Travis*,Florida State,ACC,2023,11,207,324,63.9,2756,20,6.2,2,0.6,8.5,9.46,13.3,250.5,154.5,H-5
Devin Leary*,Kentucky,SEC,2023,13,209,371,56.3,2746,25,6.7,12,3.2,7.4,7.29,13.1,211.2,134.3,
Tyler Van Dyke*,Miami (FL),ACC,2023,11,219,333,65.8,2703,19,5.7,12,3.6,8.1,7.64,12.3,245.7,145.6,
Will Howard*,Kansas State,Big 12,2023,12,219,357,61.3,2643,24,6.7,10,2.8,7.4,7.49,12.1,220.3,140.1,
Drew Allar*,Penn State,Big Ten,2023,13,233,389,59.9,2631,25,6.4,2,0.5,6.8,7.82,11.3,202.4,136.9,
Garrett Greene*,West Virginia,Big 12,2023,12,147,277,53.1,2406,16,5.8,4,1.4,8.7,9.19,16.4,200.5,142.2,
Hudson Card,Purdue,Big Ten,2023,11,215,365,58.9,2387,15,4.1,8,2.2,6.5,6.38,11.1,217,123,
John Rhys Plumlee*,UCF,Big 12,2023,10,161,256,62.9,2271,15,5.9,8,3.1,8.9,8.64,14.1,227.1,150.5,
Thomas Castellanos*,Boston College,ACC,2023,13,189,330,57.3,2248,15,4.5,14,4.2,6.8,5.81,11.9,172.9,121,
Emory Jones,Cincinnati,Big 12,2023,12,197,322,61.2,2219,18,5.6,10,3.1,6.9,6.61,11.3,184.9,131.3,
Josh Hoover,Texas Christian,Big 12,2023,10,185,298,62.1,2206,15,5,9,3,7.4,7.05,11.9,220.6,134.8,
Blake Shapen,Baylor,Big 12,2023,8,184,298,61.7,2188,13,4.4,3,1,7.3,7.76,11.9,273.5,135.8,
Jason Bean*,Kansas,Big 12,2023,12,124,199,62.3,2130,18,9,7,3.5,10.7,10.93,17.2,177.5,175,
K.J. Jefferson,Arkansas,SEC,2023,12,190,296,64.2,2107,19,6.4,8,2.7,7.1,7.19,11.1,175.6,139.8,
Kyron Drones*,Virginia Tech,ACC,2023,13,166,285,58.2,2085,17,6,3,1.1,7.3,8.04,12.6,160.4,137.3,
