Player,School,Conf,Year,G,Receiving_Rec,Receiving_Yds,Receiving_Avg,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Avg,Rushing_TD,Scrimmage_Plays,Scrimmage_Yds,Scrimmage_Avg,Scrimmage_TD
Javon Baker*,UCF,Big 12,2023,13,52,1139,21.9,7,0,0,,0,52,1139,21.9,7
Nic Anderson*,Oklahoma,Big 12,2023,13,38,798,21.0,10,0,0,,0,38,798,21.0,10
Kobe Hudson*,UCF,Big 12,2023,13,44,900,20.5,8,1,-8,-8.0,0,45,892,19.8,8
Jermaine Burton*,Alabama,SEC,2023,13,39,798,20.5,8,0,0,,0,39,798,20.5,8
Quentin Skinner*,Kansas,Big 12,2023,13,29,587,20.2,2,2,8,4.0,0,31,595,19.2,2
Kyren Lacy*,LSU,SEC,2023,13,30,558,18.6,7,0,0,,0,30,558,18.6,7
Devin Carter*,West Virginia,Big 12,2023,12,27,501,18.6,2,0,0,,0,27,501,18.6,2
Jayden Higgins*,Iowa State,Big 12,2023,13,53,983,18.5,6,0,0,,0,53,983,18.5,6
Damien Alford*,Syracuse,ACC,2023,13,33,610,18.5,3,0,0,,0,33,610,18.5,3
Ramel Keyton*,Tennessee,SEC,2023,13,35,642,18.3,6,0,0,,0,35,642,18.3,6
Tre Harris*,Ole Miss,SEC,2023,12,54,985,18.2,8,0,0,,0,54,985,18.2,8
Marvin Harrison Jr.*,Ohio State,Big Ten,2023,12,67,1211,18.1,14,2,26,13.0,1,69,1237,17.9,15
Lawrence Arnold*,Kansas,Big 12,2023,13,44,782,17.8,6,1,10,10.0,0,45,792,17.6,6
Xavier Legette,South Carolina,SEC,2023,12,71,1255,17.7,7,9,-9,-1.0,0,80,1246,15.6,7
Malik Nabers*,LSU,SEC,2023,13,89,1569,17.6,14,1,1,1.0,0,90,1570,17.4,14
Bub Means,Pitt,ACC,2023,12,41,721,17.6,6,0,0,,0,41,721,17.6,6
Da'Quan Felton*,Virginia Tech,ACC,2023,13,38,667,17.6,8,0,0,,0,38,667,17.6,8
Ketron Jackson Jr.,Baylor,Big 12,2023,10,28,489,17.5,1,1,3,3.0,0,29,492,17.0,1
Brian Thomas Jr.*,LSU,SEC,2023,13,68,1177,17.3,17,1,-6,-6.0,0,69,1171,17.0,17
Devontez Walker*,North Carolina,ACC,2023,8,41,699,17.0,7,3,23,7.7,0,44,722,16.4,7
Jahdae Walker*,Texas A&M,SEC,2023,13,35,590,16.9,2,0,0,,0,35,590,16.9,2
Luke Grimm*,Kansas,Big 12,2023,13,33,555,16.8,6,1,-6,-6.0,0,34,549,16.1,6
Drake Dabney,Baylor,Big 12,2023,12,33,552,16.7,5,0,0,,0,33,552,16.7,5
Mason Fairchild*,Kansas,Big 12,2023,13,27,451,16.7,3,0,0,,0,27,451,16.7,3
Roman Wilson*,Michigan,Big Ten,2023,15,48,789,16.4,12,1,10,10.0,0,49,799,16.3,12
Monaray Baldwin,Baylor,Big 12,2023,12,38,623,16.4,4,3,17,5.7,0,41,640,15.6,4
Leon Johnson III*,Oklahoma State,Big 12,2023,10,33,539,16.3,1,0,0,,0,33,539,16.3,1
Jayce Brown*,Kansas State,Big 12,2023,10,27,437,16.2,3,4,3,0.8,0,31,440,14.2,3
Kaden Prather*,Maryland,Big Ten,2023,13,42,666,15.9,5,1,36,36.0,0,43,702,16.3,5
Ladd McConkey*,Georgia,SEC,2023,9,30,478,15.9,2,2,38,19.0,1,32,516,16.1,3
Andrel Anthony*,Oklahoma,Big 12,2023,6,27,429,15.9,1,0,0,,0,27,429,15.9,1
Marcus Rosemy-Jacksaint*,Georgia,SEC,2023,13,34,535,15.7,4,0,0,,0,34,535,15.7,4
J.J. Jones*,North Carolina,ACC,2023,13,46,711,15.5,3,0,0,,0,46,711,15.5,3
Adonai Mitchell*,Texas,Big 12,2023,14,55,845,15.4,11,2,1,0.5,0,57,846,14.8,11
Jalil Farooq*,Oklahoma,Big 12,2023,13,45,694,15.4,2,17,95,5.6,0,62,789,12.7,2
Jacolby George*,Miami (FL),ACC,2023,13,57,864,15.2,8,1,14,14.0,1,58,878,15.1,9
Ja'Tavion Sanders*,Texas,Big 12,2023,14,45,682,15.2,2,1,12,12.0,0,46,694,15.1,2
Dayton Wade*,Ole Miss,SEC,2023,13,55,830,15.1,4,7,25,3.6,0,62,855,13.8,4
Tai Felton*,Maryland,Big Ten,2023,13,48,723,15.1,6,1,16,16.0,0,49,739,15.1,6
Dane Key*,Kentucky,SEC,2023,13,42,636,15.1,6,0,0,,0,42,636,15.1,6
Umari Hatcher*,Syracuse,ACC,2023,13,32,482,15.1,3,0,0,,0,32,482,15.1,3
Ainias Smith*,Texas A&M,SEC,2023,12,53,795,15.0,2,5,21,4.2,0,58,816,14.1,2
Johnny Wilson*,Florida State,ACC,2023,10,41,617,15.0,2,0,0,,0,41,617,15.0,2
Taylor Morin,Wake Forest,ACC,2023,12,41,617,15.0,2,1,2,2.0,0,42,619,14.7,2
Bryson Green*,Wisconsin,Big Ten,2023,11,32,480,15.0,2,0,0,,0,32,480,15.0,2
Caden Prieskorn*,Ole Miss,SEC,2023,10,30,449,15.0,4,0,0,,0,30,449,15.0,4
Eric Singleton Jr.*,Georgia Tech,ACC,2023,12,48,714,14.9,6,1,9,9.0,0,49,723,14.8,6
Ricky Pearsall,Florida,SEC,2023,12,65,965,14.8,4,3,62,20.7,2,68,1027,15.1,6
