Player,Pos,Team,Conf,Year,G,Touchdowns_Rush,Touchdowns_Rec,Touchdowns_Int,Touchdowns_FR,Touchdowns_PR,Touchdowns_KR,Touchdowns_Oth,Touchdowns_Tot,Kicking_XPM,Kicking_FGM,Other_2PM,Other_Sfty,Pts
Blake Corum,RB,Michigan Wolverines ,Big Ten,2023,15,27,1,0,0,0,0,0,28,0,0,0,0,168
Bert Auburn,K,Texas Longhorns ,Big 12,2023,14,0,0,0,0,0,0,0,0,56,29,0,0,143
Peyton Woodring,K,Georgia Bulldogs ,SEC,2023,14,0,0,0,0,0,0,0,0,71,21,0,0,134
Ollie Gordon,RB,Oklahoma State Cowboys ,Big 12,2023,14,21,1,0,0,0,0,0,22,0,0,0,0,132
Re'Mahn Davis,RB,Kentucky Wildcats ,SEC,2023,13,14,7,0,0,0,0,0,21,0,0,0,0,126
Randy Bond,K,Texas A&M Aggies ,SEC,2023,13,0,0,0,0,0,0,0,0,48,26,0,0,126
Will Reichard,K,Alabama Crimson Tide ,SEC,2023,14,0,0,0,0,0,0,0,0,55,22,0,0,121
James Turner,K,Michigan Wolverines ,Big Ten,2023,15,0,0,0,0,0,0,0,0,65,18,0,0,119
Alex Hale,K,Oklahoma State Cowboys ,Big 12,2023,13,0,0,0,0,0,0,0,0,36,27,0,0,117
Harrison Mevis,K,Missouri Tigers ,SEC,2023,13,0,0,0,0,0,0,0,0,45,24,0,0,117
Ryan Fitzgerald,K,Florida State Seminoles ,ACC,2023,14,0,0,0,0,0,0,0,0,58,19,0,0,115
Damian Ramos,K,LSU Tigers ,SEC,2023,13,0,0,0,0,0,0,0,0,77,12,0,0,113
Zach Schmit,K,Oklahoma Sooners ,Big 12,2023,13,0,0,0,0,0,0,0,0,67,15,0,0,112
Andres Borregales,K,Miami Hurricanes ,ACC,2023,13,0,0,0,0,0,0,0,0,44,22,0,0,110
John Love,K,Virginia Tech Hokies ,ACC,2023,13,0,0,0,0,0,0,0,0,44,22,0,0,110
Quinshon Judkins,RB,Ole Miss Rebels ,SEC,2023,13,15,2,0,0,0,0,0,17,0,0,1,0,104
Alex Felkins,K,Penn State Nittany Lions ,Big Ten,2023,13,0,0,0,0,0,0,0,0,47,19,0,0,104
Charles Campbell,K,Tennessee Volunteers ,SEC,2023,13,0,0,0,0,0,0,0,0,49,18,0,0,103
Devin Neal,RB,Kansas Jayhawks ,Big 12,2023,13,16,1,0,0,0,0,0,17,0,0,0,0,102
R.J. Harvey,,UCF Knights ,Big 12,2023,13,16,1,0,0,0,0,0,17,0,0,0,0,102
Brian Thomas Jr.,,LSU Tigers ,SEC,2023,13,0,17,0,0,0,0,0,17,0,0,0,0,102
Noah Burnette,K,North Carolina Tar Heels ,ACC,2023,11,0,0,0,0,0,0,0,0,43,19,0,0,100
Chase Contreraz,RB,Iowa State Cyclones ,Big 12,2023,13,0,0,0,0,0,0,0,0,36,21,0,0,99
Caden Davis,K,Ole Miss Rebels ,SEC,2023,13,0,0,0,0,0,0,0,0,45,18,0,0,99
Michael Hayes,K,West Virginia Mountaineers ,Big 12,2023,13,0,0,0,0,0,0,0,0,46,17,0,0,97
